Dates,State,Consumption_MU
2020-06-06,Andhra Pradesh,186.6
2020-06-28,Andhra Pradesh,168.7
2020-06-29,Andhra Pradesh,167.9
2020-06-30,Andhra Pradesh,158.1
2020-07-01,Andhra Pradesh,157.0
2020-07-02,Andhra Pradesh,155.8
2020-07-03,Andhra Pradesh,153.3
2020-07-04,Andhra Pradesh,151.8
2020-07-19,Andhra Pradesh,147.8
2020-07-20,Andhra Pradesh,151.2
2020-07-21,Andhra Pradesh,153.0
2020-07-22,Andhra Pradesh,159.6
2020-07-23,Andhra Pradesh,154.4
2020-07-24,Andhra Pradesh,150.9
2020-07-25,Andhra Pradesh,151.5
2020-07-27,Andhra Pradesh,160.6
2020-07-28,Andhra Pradesh,167.2
2020-07-29,Andhra Pradesh,163.5
2020-07-30,Andhra Pradesh,167.1
2020-07-31,Andhra Pradesh,170.5
2020-08-01,Andhra Pradesh,161.1
2020-08-02,Andhra Pradesh,155.1
2020-08-10,Andhra Pradesh,158.7
2020-08-11,Andhra Pradesh,165.1
2020-08-12,Andhra Pradesh,163.3
2020-08-13,Andhra Pradesh,160.2
2020-08-14,Andhra Pradesh,157.8
2020-08-15,Andhra Pradesh,144.6
2020-08-16,Andhra Pradesh,142.6
2020-08-17,Andhra Pradesh,150.8
2020-08-18,Andhra Pradesh,160.7
2020-08-19,Andhra Pradesh,164.2
2020-08-20,Andhra Pradesh,163.3
2020-08-21,Andhra Pradesh,162.8
2020-08-22,Andhra Pradesh,162.9
2020-08-23,Andhra Pradesh,160.2
2020-08-24,Andhra Pradesh,163.6
2020-08-25,Andhra Pradesh,170.8
2020-08-26,Andhra Pradesh,171.5
2020-08-27,Andhra Pradesh,168.4
2020-08-28,Andhra Pradesh,176.5
2020-08-29,Andhra Pradesh,184.8
2020-08-30,Andhra Pradesh,185.5
2020-08-31,Andhra Pradesh,183.4
2020-09-01,Andhra Pradesh,178.5
2020-09-02,Andhra Pradesh,171.7
2020-09-03,Andhra Pradesh,172.7
2020-09-04,Andhra Pradesh,177.8
2020-09-05,Andhra Pradesh,182.6
2020-09-06,Andhra Pradesh,184.7
2020-09-07,Andhra Pradesh,191.5
2020-09-08,Andhra Pradesh,189.0
2020-09-09,Andhra Pradesh,190.0
2020-09-10,Andhra Pradesh,189.2
2020-09-11,Andhra Pradesh,182.8
2020-09-12,Andhra Pradesh,171.5
2020-09-13,Andhra Pradesh,146.5
2020-09-14,Andhra Pradesh,143.6
2020-09-15,Andhra Pradesh,150.5
2020-09-16,Andhra Pradesh,152.9
2020-09-17,Andhra Pradesh,157.3
2020-09-18,Andhra Pradesh,161.8
2020-09-19,Andhra Pradesh,152.0
2020-09-20,Andhra Pradesh,143.5
2020-09-21,Andhra Pradesh,147.1
2020-09-22,Andhra Pradesh,157.3
2020-09-23,Andhra Pradesh,165.9
2020-09-24,Andhra Pradesh,174.4
2020-09-25,Andhra Pradesh,175.3
2020-09-26,Andhra Pradesh,146.9
2020-09-27,Andhra Pradesh,147.6
2020-09-28,Andhra Pradesh,162.7
2020-09-29,Andhra Pradesh,164.1
2020-09-30,Andhra Pradesh,150.5
2020-10-01,Andhra Pradesh,147.9
2020-10-02,Andhra Pradesh,153.6
2020-10-03,Andhra Pradesh,155.2
2020-10-04,Andhra Pradesh,155.3
2020-10-05,Andhra Pradesh,164.6
2020-10-06,Andhra Pradesh,173.4
2020-10-07,Andhra Pradesh,172.9
2020-10-08,Andhra Pradesh,178.9
2020-10-09,Andhra Pradesh,179.0
2020-10-10,Andhra Pradesh,166.3
2020-10-11,Andhra Pradesh,145.7
2020-10-12,Andhra Pradesh,145.4
2020-10-13,Andhra Pradesh,134.5
2020-10-14,Andhra Pradesh,145.3
2020-10-15,Andhra Pradesh,150.9
2020-10-16,Andhra Pradesh,157.1
2020-10-17,Andhra Pradesh,158.3
2020-10-18,Andhra Pradesh,158.8
2020-10-19,Andhra Pradesh,159.7
2020-10-20,Andhra Pradesh,155.0
2020-10-21,Andhra Pradesh,151.7
2020-10-22,Andhra Pradesh,154.0
2020-10-23,Andhra Pradesh,155.2
2020-10-24,Andhra Pradesh,162.2
2020-10-25,Andhra Pradesh,158.4
2020-10-26,Andhra Pradesh,165.1
2020-10-27,Andhra Pradesh,171.3
2020-10-28,Andhra Pradesh,172.2
2020-10-29,Andhra Pradesh,170.9
2020-10-30,Andhra Pradesh,175.0
2020-10-31,Andhra Pradesh,178.9
2020-11-01,Andhra Pradesh,177.5
2020-11-02,Andhra Pradesh,185.3
2020-11-03,Andhra Pradesh,190.9
2020-11-04,Andhra Pradesh,183.8
2020-11-05,Andhra Pradesh,185.8
2020-11-06,Andhra Pradesh,179.0
2020-11-07,Andhra Pradesh,174.2
2020-11-08,Andhra Pradesh,169.2
2020-11-09,Andhra Pradesh,170.4
2020-11-10,Andhra Pradesh,170.9
2020-11-11,Andhra Pradesh,173.2
2020-11-12,Andhra Pradesh,163.7
2020-11-13,Andhra Pradesh,157.4
2020-11-14,Andhra Pradesh,157.4
2020-11-15,Andhra Pradesh,152.0
2020-11-16,Andhra Pradesh,153.5
2020-11-17,Andhra Pradesh,158.1
2020-11-18,Andhra Pradesh,162.8
2020-11-19,Andhra Pradesh,167.5
2020-11-20,Andhra Pradesh,171.3
2020-11-21,Andhra Pradesh,170.0
2020-11-22,Andhra Pradesh,167.8
2020-11-23,Andhra Pradesh,170.4
2020-11-24,Andhra Pradesh,166.8
2020-11-25,Andhra Pradesh,155.1
2020-11-26,Andhra Pradesh,122.4
2020-11-27,Andhra Pradesh,116.6
2020-11-28,Andhra Pradesh,127.9
2020-11-29,Andhra Pradesh,130.8
2020-11-30,Andhra Pradesh,135.6
2020-12-01,Andhra Pradesh,139.5
2020-12-02,Andhra Pradesh,147.2
2020-12-03,Andhra Pradesh,145.0
2020-12-04,Andhra Pradesh,147.0
2020-12-05,Andhra Pradesh,148.5
2019-01-01,Arunachal Pradesh,2.3
2019-01-02,Arunachal Pradesh,2.3
